index,distribution
-Plz3v68kjY-17,"[0.0040241305322691965, 0.1173682066210977, 0.15152081739363646, 0.06551329121614542, 0.07210434064245676, 0.29331424485146235, 0.04943355972190327, 0.027463803907218726, 0.010370678188167113, 0.20888692692564295]"
-Plz3v68kjY-18,"[0.0516857649308313, 0.0005549151015831786, 0.11852029119389457, 0.05855454930524828, 2.770360093723532e-05, 0.09612113961083263, 0.0877903462768987, 0.11828245758895982, 0.04535791127402412, 0.4231049211167903]"
-Plz3v68kjY-19,"[0.007675536654796772, 0.03296567699498242, 0.012757570173586722, 0.015169952006405384, 0.022368824843361834, 0.18267889415123598, 0.052322909430895986, 0.17543464338569184, 0.12869006111795572, 0.3699359312410875]"
-Plz3v68kjY-20,"[0.0038606333996909184, 0.19074233625539405, 0.018859710808086457, 0.1575677704098219, 0.0001345777787371524, 0.14150149717870866, 0.3240295571430945, 0.15816872340656662, 0.00020218851515959154, 0.00493300510474031]"
-Plz3v68kjY-21,"[0.1241385242005196, 0.004919039280828917, 0.0017178063873422719, 0.12480440884621168, 0.0007967879715404175, 0.1801712620874263, 0.14643363969855394, 0.15897646342487828, 0.029363056527817954, 0.2286790115748807]"
-Plz3v68kjY-22,"[0.03502431811853024, 0.03549977875449027, 0.06505736916524414, 0.02961399162502863, 0.14281139151158795, 0.11513085304050458, 0.14702128280315585, 0.10046530265870303, 0.13842766027958095, 0.1909480520431744]"
-Plz3v68kjY-23,"[0.07776086480709526, 0.03607357289635387, 0.11580059582144128, 0.03215034357123149, 0.00040565785002404494, 0.03488535682844857, 0.06301451245745861, 0.18824077625489632, 0.20758657964713903, 0.24408173986591133]"
-Plz3v68kjY-24,"[0.09845561105560974, 0.056566151620685616, 0.08599812304706204, 0.11070213891719156, 0.02833355354484649, 0.05714012815016722, 0.08720664462262137, 0.17942484386851265, 0.14029254389483642, 0.15588026127846658]"
-Plz3v68kjY-25,"[0.06611439524949972, 0.014818443367391408, 0.08911984142781482, 0.025920398944135774, 0.06111900250660596, 0.1563041577124608, 0.06964826336695855, 0.0874506895335768, 0.1636106292625826, 0.2658941786289742]"
-Plz3v68kjY-26,"[0.11146534490474946, 0.09758607603369839, 0.0005898509262365843, 0.0218664856365295, 0.06098498193758461, 0.2717396250398459, 0.09312693413000442, 0.06844521845017967, 0.1457335852959472, 0.12846189764522398]"
-Plz3v68kjY-27,"[0.13501115029286342, 0.0012761620262878974, 0.0009179742582103327, 0.002637948898781606, 0.09864104879830839, 0.17743365869929648, 0.09644321282409224, 0.19749815946059576, 0.060823842077974276, 0.22931684266358957]"
